M    ,CL   ,K
0.51 ,0.60 ,0.205454
0.52 ,0.60 ,0.205475
0.53 ,0.60 ,0.205495
0.54 ,0.60 ,0.205516
0.55 ,0.60 ,0.205536
0.56 ,0.60 ,0.205556
0.57 ,0.60 ,0.205577
0.58 ,0.60 ,0.205597
0.59 ,0.60 ,0.205618
0.6  ,0.60 ,0.205638
0.61 ,0.60 ,0.205659
0.62 ,0.60 ,0.205679
0.63 ,0.60 ,0.2057
0.64 ,0.60 ,0.20572
0.65 ,0.60 ,0.20574
0.66 ,0.60 ,0.205761
0.67 ,0.60 ,0.205781
0.68 ,0.60 ,0.205802
0.69 ,0.60 ,0.205822
0.7  ,0.60 ,0.205843
0.71 ,0.60 ,0.205135
0.72 ,0.60 ,0.204106
0.73 ,0.60 ,0.203077
0.74 ,0.60 ,0.202048
0.75 ,0.60 ,0.200335
0.76 ,0.60 ,0.198237
0.77 ,0.60 ,0.196139
0.78 ,0.60 ,0.194041
0.79 ,0.60 ,0.191943
0.8  ,0.60 ,0.189845
0.81 ,0.60 ,0.187746
0.82 ,0.60 ,0.185886
0.83 ,0.60 ,0.184219
0.84 ,0.60 ,0.182551
0.85 ,0.60 ,0.180884
0.86 ,0.60 ,0.179216
0.87 ,0.60 ,0.177549
0.88 ,0.60 ,0.17616
0.89 ,0.60 ,0.174921
0.9  ,0.60 ,0.173683
0.91 ,0.60 ,0.172444
0.92 ,0.60 ,0.171206
0.93 ,0.60 ,0.169967
0.94 ,0.60 ,0.16909
0.95 ,0.60 ,0.168348
0.96 ,0.60 ,0.167606
0.97 ,0.60 ,0.166864
0.98 ,0.60 ,0.166339
0.99 ,0.60 ,0.165985
1    ,0.60 ,0.165884
1.01 ,0.60 ,0.165881
1.02 ,0.60 ,0.166572
1.03 ,0.60 ,0.167495
1.04 ,0.60 ,0.168419
1.05 ,0.60 ,0.169343
1.06 ,0.60 ,0.170924
1.07 ,0.60 ,0.172599
1.08 ,0.60 ,0.174273
1.09 ,0.60 ,0.175948
1.1  ,0.60 ,0.177944
1.11 ,0.60 ,0.180036
1.12 ,0.60 ,0.182129
1.13 ,0.60 ,0.184221
1.14 ,0.60 ,0.186625
1.15 ,0.60 ,0.189128
1.16 ,0.60 ,0.191631
1.17 ,0.60 ,0.194134
1.18 ,0.60 ,0.196636
1.19 ,0.60 ,0.199139
1.2  ,0.60 ,0.201606
1.21 ,0.60 ,0.204054
1.22 ,0.60 ,0.206502
1.23 ,0.60 ,0.20895
1.24 ,0.60 ,0.211399
1.25 ,0.60 ,0.213847
1.26 ,0.60 ,0.216295
1.27 ,0.60 ,0.218743
1.28 ,0.60 ,0.221191
1.29 ,0.60 ,0.22364
1.3  ,0.60 ,0.226088
1.31 ,0.60 ,0.228536
1.32 ,0.60 ,0.230984
1.33 ,0.60 ,0.233432
1.34 ,0.60 ,0.23588
1.35 ,0.60 ,0.238329
1.36 ,0.60 ,0.240777
1.37 ,0.60 ,0.243225
1.38 ,0.60 ,0.245673
1.39 ,0.60 ,0.248121
1.4  ,0.60 ,0.25057
1.41 ,0.60 ,0.253018
0.21 ,0.70 ,0.239463
0.22 ,0.70 ,0.239486
0.23 ,0.70 ,0.239509
0.24 ,0.70 ,0.239531
0.25 ,0.70 ,0.239554
0.26 ,0.70 ,0.239577
0.27 ,0.70 ,0.2396
0.28 ,0.70 ,0.239623
0.29 ,0.70 ,0.239646
0.3  ,0.70 ,0.239668
0.31 ,0.70 ,0.239691
0.32 ,0.70 ,0.239714
0.33 ,0.70 ,0.239737
0.34 ,0.70 ,0.23976
0.35 ,0.70 ,0.239783
0.36 ,0.70 ,0.239805
0.37 ,0.70 ,0.239828
0.38 ,0.70 ,0.239851
0.39 ,0.70 ,0.239874
0.4  ,0.70 ,0.239897
0.41 ,0.70 ,0.239919
0.42 ,0.70 ,0.239942
0.43 ,0.70 ,0.239965
0.44 ,0.70 ,0.239988
0.45 ,0.70 ,0.240011
0.46 ,0.70 ,0.240034
