ID;full_name;type;b;S;CD0;K;Ta0;Pa0;cT;cP;Neng;CLmax_cl;CLmax_to;CLmax_ld;nlim;MMO;VMO;MTOM;MLM;MZFM;MPLM;MFM;OEM
MD81;McDonnel Douglas MD-81;Simplified Jet;32.79024245107072;112.0;;;;164.0;;;;;;;3.389694804748745;;;;63503;58000;;;;35288
MD82;McDonnel Douglas MD-82;Simplified Jet;32.79024245107072;112.0;;;;178.0;;;;;;;2.912908381055128;;;;67812;59000;;;;35629
MD83;McDonnel Douglas MD-83;Simplified Jet;32.79024245107072;112.0;;;;187.0;;;;;;;3.078775106232875;;;;72575;63280;;;;36230
MD87;McDonnel Douglas MD-87;Simplified Jet;32.79024245107072;112.0;;;;138.0;;;;;;;2.705039369883006;;;;63504;58060;;;;33203
MD88;McDonnel Douglas MD-88;Simplified Jet;32.79024245107072;112.0;;;;187.0;;;;;;;3.4192621283363813;;;;67815;63280;;;;35629
MD90;McDonnel Douglas MD-90;Simplified Jet;32.79024245107072;112.0;;;;249.0;;;;;;;3.0885010729161375;;;;70760;64410;;;;39996
SU95;Sukhoi Superjet 100 (SU95);Simplified Jet;27.462701979229937;83.8;;;;156.0;;;;;;;2.960900316002949;;;;45880;41000;;;;25100
T154;Tupolev TU-154M;Simplified Jet;37.603191353926334;202.0;;;;312.0;;;;;;;2.396749060430303;;;;100000;80000;;;;53000
T204;Tupolev TU-204-300;Simplified Jet;42.05139712304456;184.2;;;;386.0;;;;;;;2.4929159012903748;;;;107000;88000;;;;54000
YK42;Yakolev YAK-42D;Simplified Jet;34.85685011586675;150.0;;;;147.0;;;;;;;2.0576090683794153;;;;57500;51000;;;;33000
IL86;Ilyushin IL-86;Simplified Jet;48.0;320.0;;;;508.0;;;;;;;2.485857361001683;;;;208000;175000;;;;116250
IL96;Ilyushin IL-96-400M;Simplified Jet;60.04165220911231;350.0;;;;680.0;;;;;;;2.857214011665608;;;;270000;220000;;;;122300
MD11;McDonnel Douglas MD-11;Simplified Jet;51.75036231757223;339.0;;;;801.0;;;;;;;2.3276767071509066;;;;280000;195050;;;;130000
BAC1;British Aerospace BAC 1-11;Simplified Jet;28.53594224832956;95.8;;;;112.0;;;;;;;2.2445076522243843;;;;47400;39460;;;;24780
VC10;Vickers BAC VC-10;Simplified Jet;44.572973874310875;264.9;;;;395.0;;;;;;;1.6812938004401095;;;;146500;97980;;;;63280
AT43;ATR42-300;Simplified Jet;24.595731336961702;54.5;;;;;2680.0;;;;;;2.1372508896685503;;;;16700;16400;;;;10600
AT44;ATR42-400;Simplified Jet;24.595731336961702;54.5;;;;;2830.0;;;;;;2.2936351011077125;;;;17900;17600;;;;11000
AT45;ATR42-500;Simplified Jet;24.595731336961702;54.5;;;;;3730.0;;;;;;2.8381795728958705;;;;18600;18300;;;;11250
AT76;ATR72-600;Simplified Jet;27.055498516937366;61.0;;;;;3730.0;;;;;;2.6022909610486;;;;23000;22350;;;;13600
AT72;ATR72-500;Simplified Jet;27.055498516937366;61.0;;;;;3730.0;;;;;;2.544074161025142;;;;22000;21850;;;;12950
ATP;BAE ATP;Simplified Jet;30.65289545866752;78.3;;;;;4000.0;;;;;;2.7403493095912133;;;;23680;23130;;;;15100
DH8C;Dash 8 Q300;Simplified Jet;27.364027481348575;56.3;;;;;3550.0;;;;;;2.723417165217604;;;;19500;18140;;;;11653
DH8D;Dash 8 Q400;Simplified Jet;28.41971146933058;63.1;;;;;7500.0;;;;;;3.10087073133287;;;;28917;28010;;;;17148
DHC7;DHC-7;Simplified Jet;28.26658805020514;79.9;;;;;3350.0;;;;;;3.0815801364106927;;;;19958;19500;;;;12540
F50;Fokker 50;Simplified Jet;28.982753492378876;70.0;;;;;4100.0;;;;;;1.9785395322258292;;;;20820;19500;;;;12520
SB20;SAAB 2000;Simplified Jet;24.752777621915484;55.7;;;;;6200.0;;;;;;3.3385106669238493;;;;23000;22000;;;;14500
